"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-08-03","[350,400)","0","0","0","0","0","0","0"
"2023-08-04","[350,400)","5201.91","32","5","34","0","26","4"
"2023-08-05","[350,400)","11996.69","59","6","59","0","10","5"
"2023-08-06","[350,400)","12573.89","51","11","65","0","35","8"
"2023-08-07","[350,400)","44770.14","208","51","396","0","70","11"
"2023-08-08","[350,400)","30821.97","145","21","247","0","58","9"
"2023-08-09","[350,400)","35461.32","160","29","268","0","62","10"
"2023-08-10","[350,400)","75322.27","294","116","474","1","53","13"
"2023-08-11","[350,400)","25160.82","116","40","164","0","49","11"
"2023-08-12","[350,400)","25319.51","126","46","148","3","46","15"
"2023-08-13","[350,400)","50661.42","237","76","308","5","91","17"
"2023-08-14","[350,400)","48525.32","242","65","299","2","94","17"
"2023-08-15","[350,400)","50336.88","255","85","288","2","65","17"
"2023-08-16","[350,400)","48678.03","251","80","264","2","64","16"
"2023-08-17","[350,400)","42732.35","254","60","229","4","43","17"
"2023-08-18","[350,400)","38100.21","168","50","225","4","55","15"
"2023-08-19","[350,400)","22831.44","105","41","134","0","32","11"
"2023-08-20","[350,400)","21829.66","85","34","144","0","62","5"
"2023-08-21","[350,400)","19280.46","85","17","110","0","49","3"
"2023-08-22","[350,400)","9411.89","44","8","37","0","17","4"
"2023-08-23","[350,400)","3472.18","21","4","15","0","7","2"
"2023-08-24","[350,400)","1236.04","13","0","6","0","1","1"
"2023-08-25","[350,400)","507.21","5","0","3","0","1","1"
"2023-08-26","[350,400)","4009.48","8","1","17","0","5","1"
"2023-08-27","[350,400)","0","0","0","0","0","0","0"
"2023-08-28","[350,400)","4613.16","11","7","24","0","7","2"
"2023-08-29","[350,400)","12590.87","50","16","81","0","12","1"
"2023-08-30","[350,400)","5995.58","24","9","40","0","6","1"
"2023-08-31","[350,400)","11270.06","37","15","75","0","16","2"
"2023-08-03","[450,+∞)","0","0","0","0","0","0","0"
"2023-08-04","[450,+∞)","63.01","1","0","0","0","0","1"
"2023-08-05","[450,+∞)","6931.98","30","9","39","3","0","5"
"2023-08-06","[450,+∞)","44196.16","175","29","313","5","71","12"
"2023-08-07","[450,+∞)","71436.74","264","48","461","1","105","19"
"2023-08-08","[450,+∞)","51864.91","216","38","387","0","95","17"
"2023-08-09","[450,+∞)","63590.62","235","40","428","0","99","20"
"2023-08-10","[450,+∞)","57389.39","231","46","403","4","104","17"
"2023-08-11","[450,+∞)","39845.1","153","26","244","0","58","14"
"2023-08-12","[450,+∞)","110641.69","423","165","755","5","232","20"
"2023-08-13","[450,+∞)","86372.66","356","108","618","1","148","18"
"2023-08-14","[450,+∞)","95145.44","400","148","731","2","154","20"
"2023-08-15","[450,+∞)","75143.85","352","146","569","1","130","23"
"2023-08-16","[450,+∞)","114094.39","492","166","964","3","171","25"
"2023-08-17","[450,+∞)","70888.98","325","87","517","4","110","25"
"2023-08-18","[450,+∞)","44631.92","227","84","321","2","69","16"
"2023-08-19","[450,+∞)","20337.58","81","19","98","1","6","9"
"2023-08-20","[450,+∞)","10939.83","55","12","70","1","14","4"
"2023-08-21","[450,+∞)","3018.71","22","1","18","0","0","4"
"2023-08-22","[450,+∞)","3519.67","19","2","25","0","4","3"
"2023-08-23","[450,+∞)","2938.06","15","1","25","0","1","1"
"2023-08-24","[450,+∞)","1224.9","5","3","8","1","2","1"
"2023-08-25","[450,+∞)","1460.63","7","5","14","0","2","1"
"2023-08-26","[450,+∞)","2013.09","12","3","22","0","6","1"
"2023-08-27","[450,+∞)","1267.52","7","0","13","0","4","2"
"2023-08-28","[450,+∞)","713.92","5","0","9","0","0","2"
"2023-08-29","[450,+∞)","299.05","3","2","0","1","2","1"
"2023-08-30","[450,+∞)","701","4","1","7","0","0","2"
"2023-08-31","[450,+∞)","2478.77","17","4","24","0","3","1"
"2023-08-03","[0,20)","0","0","0","0","0","0","1"
"2023-08-04","[0,20)","143653.22","2189","1947","345","181","236","218"
"2023-08-05","[0,20)","266956.15","3714","3021","534","351","429","674"
"2023-08-06","[0,20)","315284.88","4302","3606","732","367","422","949"
"2023-08-07","[0,20)","315257.68","4715","3875","752","345","480","1222"
"2023-08-08","[0,20)","316774.31","4377","3579","626","404","531","1290"
"2023-08-09","[0,20)","343695.08","4234","3486","647","339","564","1326"
"2023-08-10","[0,20)","297154.6","4009","3293","561","329","495","1298"
"2023-08-11","[0,20)","267000.41","3779","3153","422","309","448","1315"
"2023-08-12","[0,20)","307539.18","4129","3456","719","386","391","1326"
"2023-08-13","[0,20)","314987.95","4119","3465","723","351","495","1349"
"2023-08-14","[0,20)","260875.56","3701","3068","456","291","405","1325"
"2023-08-15","[0,20)","408251.12","5524","4632","692","509","690","1566"
"2023-08-16","[0,20)","286047.56","4004","3343","562","358","512","1401"
"2023-08-17","[0,20)","150826.88","2030","1575","271","210","252","1198"
"2023-08-18","[0,20)","59564.74","656","500","121","65","46","732"
"2023-08-19","[0,20)","24683.05","337","267","53","19","31","463"
"2023-08-20","[0,20)","23825.14","356","313","57","34","44","318"
"2023-08-21","[0,20)","12322.44","183","149","22","17","12","245"
"2023-08-22","[0,20)","12444.29","157","119","50","11","4","177"
"2023-08-23","[0,20)","4256.93","49","30","2","9","0","129"
"2023-08-24","[0,20)","2455.4","30","15","0","0","1","107"
"2023-08-25","[0,20)","2008.62","23","9","1","1","0","103"
"2023-08-26","[0,20)","3178.77","62","47","0","4","1","99"
"2023-08-27","[0,20)","741.07","5","2","0","0","0","80"
"2023-08-28","[0,20)","1169.05","5","0","1","1","0","70"
"2023-08-29","[0,20)","612.63","2","1","0","0","0","64"
"2023-08-30","[0,20)","1244.94","15","9","0","3","0","52"
"2023-08-31","[0,20)","498.34","3","2","0","0","0","43"
"2023-08-03","[400,450)","0","0","0","0","0","0","0"
"2023-08-04","[400,450)","1137.79","5","0","8","0","2","2"
"2023-08-05","[400,450)","21214.23","95","12","156","0","36","5"
"2023-08-06","[400,450)","39516.48","165","11","258","2","35","11"
"2023-08-07","[400,450)","40155.07","193","20","275","2","31","11"
"2023-08-08","[400,450)","30728.79","144","11","181","1","29","14"
"2023-08-09","[400,450)","36525.16","155","27","209","0","41","14"
"2023-08-10","[400,450)","40119.27","161","25","239","3","45","17"
"2023-08-11","[400,450)","74465.69","295","110","504","1","87","15"
"2023-08-12","[400,450)","76358.37","304","87","536","3","70","17"
"2023-08-13","[400,450)","43989.46","179","52","281","0","56","17"
"2023-08-14","[400,450)","43735.29","177","32","261","2","58","16"
"2023-08-15","[400,450)","60547.62","248","67","477","4","113","17"
"2023-08-16","[400,450)","68028.92","295","61","504","3","105","21"
"2023-08-17","[400,450)","55429.46","235","48","349","2","82","18"
"2023-08-18","[400,450)","28219.21","95","26","164","1","33","9"
"2023-08-19","[400,450)","4112.57","16","1","12","0","2","4"
"2023-08-20","[400,450)","8876.03","34","3","35","0","6","4"
"2023-08-21","[400,450)","5180.82","19","0","13","0","0","2"
"2023-08-22","[400,450)","7400.82","24","2","47","0","18","2"
"2023-08-23","[400,450)","7260.46","25","4","45","0","19","1"
"2023-08-24","[400,450)","9924.38","39","4","64","0","22","2"
"2023-08-25","[400,450)","5259.54","21","0","41","0","12","1"
"2023-08-26","[400,450)","10572.26","35","5","57","0","15","2"
"2023-08-27","[400,450)","9547.58","29","6","69","0","17","1"
"2023-08-28","[400,450)","7126.18","23","5","28","0","9","1"
"2023-08-29","[400,450)","0","2","0","5","0","2","1"
"2023-08-30","[400,450)","0","0","0","0","0","0","0"
"2023-08-31","[400,450)","2953.44","4","4","9","0","6","1"
"2023-08-03","[100,150)","0","0","0","0","0","0","0"
"2023-08-04","[100,150)","14582.77","97","56","158","0","53","9"
"2023-08-05","[100,150)","233564.14","815","344","1016","4","335","80"
"2023-08-06","[100,150)","348107.03","1367","515","1747","23","475","126"
"2023-08-07","[100,150)","540855.46","2181","968","2939","59","626","171"
"2023-08-08","[100,150)","554345.05","2184","917","2685","38","622","195"
"2023-08-09","[100,150)","562194.87","2369","935","2715","36","694","205"
"2023-08-10","[100,150)","520080.79","2122","768","2120","61","561","193"
"2023-08-11","[100,150)","492292.07","2166","735","2124","76","503","207"
"2023-08-12","[100,150)","539883.89","2254","776","2306","59","566","200"
"2023-08-13","[100,150)","480525.24","2167","672","1998","46","515","194"
"2023-08-14","[100,150)","441684.25","2297","663","1776","34","372","208"
"2023-08-15","[100,150)","597997.47","2610","911","2491","63","540","227"
"2023-08-16","[100,150)","758844.42","3376","1218","3211","52","782","234"
"2023-08-17","[100,150)","684413.98","3056","945","2765","44","674","247"
"2023-08-18","[100,150)","434057.26","1933","581","1605","36","395","167"
"2023-08-19","[100,150)","296091.64","1413","401","1186","16","280","130"
"2023-08-20","[100,150)","181244.17","868","238","606","10","186","90"
"2023-08-21","[100,150)","107233.59","615","125","275","4","85","58"
"2023-08-22","[100,150)","90778.25","557","130","187","4","54","48"
"2023-08-23","[100,150)","78244.81","489","71","109","3","26","39"
"2023-08-24","[100,150)","81296.29","485","96","131","3","60","36"
"2023-08-25","[100,150)","57117.83","377","62","90","1","33","36"
"2023-08-26","[100,150)","50882.88","352","51","81","3","17","33"
"2023-08-27","[100,150)","52042.22","320","62","167","3","52","29"
"2023-08-28","[100,150)","41253.17","291","28","44","1","6","24"
"2023-08-29","[100,150)","63648.34","360","73","148","3","51","26"
"2023-08-30","[100,150)","46720.91","284","48","107","4","19","23"
"2023-08-31","[100,150)","41307.98","234","61","192","5","62","21"
"2023-08-03","[20,40)","0","0","0","0","0","0","0"
"2023-08-04","[20,40)","141256.43","573","466","177","71","124","57"
"2023-08-05","[20,40)","395939.61","2241","1432","599","202","437","218"
"2023-08-06","[20,40)","547105.66","3093","2033","831","216","604","280"
"2023-08-07","[20,40)","591395.07","3562","2255","1051","303","768","354"
"2023-08-08","[20,40)","584252.79","3561","2214","895","281","680","370"
"2023-08-09","[20,40)","505589.75","3124","1974","784","235","615","356"
"2023-08-10","[20,40)","526466.1","3094","1947","956","296","733","333"
"2023-08-11","[20,40)","518852.2","3078","1878","820","214","664","336"
"2023-08-12","[20,40)","496222.43","2910","1963","828","260","602","305"
"2023-08-13","[20,40)","501427.33","3011","1942","828","251","677","343"
"2023-08-14","[20,40)","491100.69","2894","1737","807","193","610","318"
"2023-08-15","[20,40)","551181.95","3192","1903","855","255","606","343"
"2023-08-16","[20,40)","509766.07","2984","1791","835","205","507","296"
"2023-08-17","[20,40)","384308.29","2178","1265","571","179","406","262"
"2023-08-18","[20,40)","164280.53","1098","602","267","78","165","150"
"2023-08-19","[20,40)","79196.53","461","248","119","42","81","69"
"2023-08-20","[20,40)","66776.78","380","232","121","45","85","54"
"2023-08-21","[20,40)","37027.68","242","118","73","19","29","44"
"2023-08-22","[20,40)","21769.37","87","38","28","13","13","23"
"2023-08-23","[20,40)","11548.48","81","24","17","2","6","12"
