"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-08-24","[20,40)","21515.26","130","67","54","2","44","15"
"2023-08-25","[20,40)","7519.86","61","18","13","6","16","13"
"2023-08-26","[20,40)","24762.33","94","53","13","6","12","13"
"2023-08-27","[20,40)","19984.51","61","13","33","1","1","8"
"2023-08-28","[20,40)","13334.31","58","10","33","3","2","6"
"2023-08-29","[20,40)","2262.35","15","4","2","0","0","7"
"2023-08-30","[20,40)","1061.8","10","6","4","0","0","4"
"2023-08-31","[20,40)","4467.4","24","14","13","2","6","4"
"2023-08-03","[150,200)","0","0","0","0","0","0","0"
"2023-08-04","[150,200)","7623.84","22","5","47","0","11","3"
"2023-08-05","[150,200)","51119.8","248","99","302","2","65","30"
"2023-08-06","[150,200)","125705.1","507","196","729","3","158","43"
"2023-08-07","[150,200)","132105.84","625","154","766","4","191","56"
"2023-08-08","[150,200)","241162.69","962","354","1556","16","354","64"
"2023-08-09","[150,200)","298107.67","1072","360","1677","8","368","85"
"2023-08-10","[150,200)","218094.72","939","313","1238","3","285","69"
"2023-08-11","[150,200)","159563.44","695","207","703","9","133","79"
"2023-08-12","[150,200)","169933.2","656","221","862","6","188","70"
"2023-08-13","[150,200)","278507.11","1106","368","1599","16","337","83"
"2023-08-14","[150,200)","259080.47","1072","355","1468","18","312","71"
"2023-08-15","[150,200)","141639.64","662","182","741","1","161","70"
"2023-08-16","[150,200)","175338.34","765","234","894","15","221","77"
"2023-08-17","[150,200)","123669.72","630","227","654","6","179","66"
"2023-08-18","[150,200)","69475.78","332","86","320","7","84","41"
"2023-08-19","[150,200)","80989","270","115","361","32","45","26"
"2023-08-20","[150,200)","57075.33","261","68","286","2","60","28"
"2023-08-21","[150,200)","64969.54","338","95","329","2","79","17"
"2023-08-22","[150,200)","43012.78","216","62","244","0","40","16"
"2023-08-23","[150,200)","19778.81","96","21","89","1","6","10"
"2023-08-24","[150,200)","22693.77","120","26","161","1","13","9"
"2023-08-25","[150,200)","18743.41","80","20","95","0","16","7"
"2023-08-26","[150,200)","12889.32","64","8","47","0","3","5"
"2023-08-27","[150,200)","7730.92","35","5","45","0","7","5"
"2023-08-28","[150,200)","2662.65","20","4","10","0","3","4"
"2023-08-29","[150,200)","5048","12","7","20","0","11","4"
"2023-08-30","[150,200)","1990.86","6","2","10","0","4","2"
"2023-08-31","[150,200)","9241.83","21","7","34","0","12","4"
"2023-08-03","[250,300)","0","0","0","0","0","0","0"
"2023-08-04","[250,300)","0","0","0","0","0","0","0"
"2023-08-05","[250,300)","25677.15","110","25","163","2","10","11"
"2023-08-06","[250,300)","28542.89","153","34","146","2","17","18"
"2023-08-07","[250,300)","49735.83","249","65","292","5","68","31"
"2023-08-08","[250,300)","102031.16","438","163","764","6","215","31"
"2023-08-09","[250,300)","112430.57","454","135","730","4","171","34"
"2023-08-10","[250,300)","71155.09","301","100","591","1","143","25"
"2023-08-11","[250,300)","74931.99","289","71","390","2","94","32"
"2023-08-12","[250,300)","101230.9","380","144","579","5","134","28"
"2023-08-13","[250,300)","87386.2","350","106","501","2","107","26"
"2023-08-14","[250,300)","81010.63","341","102","494","3","96","25"
"2023-08-15","[250,300)","69567.51","317","98","349","5","48","25"
"2023-08-16","[250,300)","57177.32","366","111","416","2","67","30"
"2023-08-17","[250,300)","87385.28","401","99","509","2","124","22"
"2023-08-18","[250,300)","28450.44","129","36","168","1","58","14"
"2023-08-19","[250,300)","14932.96","103","20","72","0","14","7"
"2023-08-20","[250,300)","18015.94","99","19","149","0","2","5"
"2023-08-21","[250,300)","38203.14","146","54","248","7","61","7"
"2023-08-22","[250,300)","15768.14","80","19","105","2","8","6"
"2023-08-23","[250,300)","15646.01","66","10","107","4","0","5"
"2023-08-24","[250,300)","10050.19","64","5","92","0","2","4"
"2023-08-25","[250,300)","707.61","10","0","2","0","0","1"
"2023-08-26","[250,300)","682.42","9","1","2","0","0","1"
"2023-08-27","[250,300)","0","0","0","0","0","0","0"
"2023-08-28","[250,300)","0","0","0","0","0","0","0"
"2023-08-29","[250,300)","0","0","0","0","0","0","0"
"2023-08-30","[250,300)","0","0","0","0","0","0","0"
"2023-08-31","[250,300)","0","0","0","0","0","0","0"
"2023-08-03","(null)","0","-","-","-","0","0","1"
"2023-08-04","(null)","0","-","-","-","0","0","218"
"2023-08-05","(null)","0","-","-","-","0","0","672"
"2023-08-06","(null)","0","-","-","-","0","0","945"
"2023-08-07","(null)","0","-","-","-","0","0","1216"
"2023-08-08","(null)","3.89","-","-","-","0","0","1288"
"2023-08-09","(null)","0","-","-","-","0","0","1319"
"2023-08-10","(null)","0","-","-","-","0","0","1295"
"2023-08-11","(null)","0","-","-","-","0","0","1311"
"2023-08-12","(null)","0","-","-","-","0","0","1318"
"2023-08-13","(null)","0","-","-","-","0","0","1344"
"2023-08-14","(null)","0","-","-","-","0","0","1325"
"2023-08-15","(null)","0","-","-","-","0","0","1559"
"2023-08-16","(null)","0","-","-","-","0","0","1398"
"2023-08-17","(null)","0","-","-","-","0","0","1195"
"2023-08-18","(null)","9.67","-","-","-","0","0","730"
"2023-08-19","(null)","0","-","-","-","0","0","461"
"2023-08-20","(null)","0","-","-","-","0","0","316"
"2023-08-21","(null)","0","-","-","-","0","0","244"
"2023-08-22","(null)","0","-","-","-","0","0","177"
"2023-08-23","(null)","0","-","-","-","0","0","129"
"2023-08-24","(null)","0","-","-","-","0","0","107"
"2023-08-25","(null)","0","-","-","-","0","0","103"
"2023-08-26","(null)","0","-","-","-","0","0","100"
"2023-08-27","(null)","0","-","-","-","0","0","80"
"2023-08-28","(null)","0","-","-","-","0","0","70"
"2023-08-29","(null)","0","-","-","-","0","0","64"
"2023-08-30","(null)","0","-","-","-","0","0","52"
"2023-08-31","(null)","0","-","-","-","0","0","43"
"2023-08-03","[80,100)","0","0","0","0","0","0","0"
"2023-08-04","[80,100)","6528.07","36","15","31","1","10","6"
"2023-08-05","[80,100)","82907.43","350","174","408","15","112","46"
"2023-08-06","[80,100)","151258.99","718","363","735","18","198","82"
"2023-08-07","[80,100)","198793.4","989","553","1004","15","278","95"
"2023-08-08","[80,100)","258616.35","1319","718","1095","21","393","113"
"2023-08-09","[80,100)","256901.92","1358","568","957","39","280","125"
"2023-08-10","[80,100)","224483.76","1236","512","893","36","304","115"
"2023-08-11","[80,100)","271832.21","1452","594","1013","37","351","119"
"2023-08-12","[80,100)","249773.4","1283","478","867","22","287","121"
"2023-08-13","[80,100)","282194.14","1535","510","1017","38","306","142"
"2023-08-14","[80,100)","326336.22","1753","672","1304","34","429","147"
"2023-08-15","[80,100)","346344.85","1910","743","1686","51","496","175"
"2023-08-16","[80,100)","371109.68","1921","701","1604","30","477","163"
"2023-08-17","[80,100)","307430.57","1699","636","1238","45","428","154"
"2023-08-18","[80,100)","134733.46","808","227","450","18","135","94"
"2023-08-19","[80,100)","118566.39","662","197","467","7","125","68"
"2023-08-20","[80,100)","52683.36","297","79","158","4","59","42"
"2023-08-21","[80,100)","42030.35","274","70","89","3","40","27"
"2023-08-22","[80,100)","43984.12","291","74","118","3","49","25"
"2023-08-23","[80,100)","34203.46","257","64","75","4","18","21"
"2023-08-24","[80,100)","25055.72","190","32","60","0","12","17"
"2023-08-25","[80,100)","35369.1","219","44","148","5","6","17"
"2023-08-26","[80,100)","23787.89","153","42","73","3","16","13"
"2023-08-27","[80,100)","13805.49","97","21","33","2","9","12"
"2023-08-28","[80,100)","7941.07","50","17","22","1","10","8"
"2023-08-29","[80,100)","2789.48","16","5","11","0","7","4"
"2023-08-30","[80,100)","2841.67","13","1","2","2","2","4"
"2023-08-31","[80,100)","3014.98","19","7","2","0","1","3"
"2023-08-03","[40,60)","2104.33","21","7","2","0","0","1"
"2023-08-04","[40,60)","28435.02","167","109","58","4","63","16"
"2023-08-05","[40,60)","219378.19","1122","811","652","48","270","89"
"2023-08-06","[40,60)","265348.26","1287","862","675","51","279","138"
"2023-08-07","[40,60)","402870.02","2034","1288","1092","96","507","185"
"2023-08-08","[40,60)","424905.5","2030","1320","1139","121","448","212"
"2023-08-09","[40,60)","373246.88","1881","1066","863","77","307","192"
"2023-08-10","[40,60)","376725.59","1987","1180","881","87","515","200"
"2023-08-11","[40,60)","359089.59","1896","1098","892","72","408","191"
"2023-08-12","[40,60)","392466.7","1970","1122","946","92","406","210"
"2023-08-13","[40,60)","397485.94","1941","1194","938","126","451","220"
"2023-08-14","[40,60)","355477.27","1850","1051","927","100","375","215"
"2023-08-15","[40,60)","411702.27","2282","1296","1119","122","510","240"
"2023-08-16","[40,60)","372911.97","2077","1111","1086","89","489","198"
"2023-08-17","[40,60)","315724.5","1652","908","877","67","364","174"
"2023-08-18","[40,60)","184315.2","956","517","469","52","193","114"
"2023-08-19","[40,60)","108481.58","543","280","287","22","102","68"
"2023-08-20","[40,60)","40354.18","212","94","115","1","39","40"
"2023-08-21","[40,60)","45432.61","229","96","110","11","21","41"
"2023-08-22","[40,60)","17965.08","126","54","49","3","14","21"
"2023-08-23","[40,60)","18294.53","121","48","34","7","14","16"
"2023-08-24","[40,60)","11061.46","84","30","3","0","9","9"
"2023-08-25","[40,60)","13284.92","94","39","25","3","13","11"
"2023-08-26","[40,60)","14609","83","31","59","3","23","13"
"2023-08-27","[40,60)","18813.78","110","38","66","0","18","13"
"2023-08-28","[40,60)","5763.24","44","11","9","2","4","8"
"2023-08-29","[40,60)","6145.68","45","19","9","1","7","9"
"2023-08-30","[40,60)","4552.27","23","16","16","1","2","4"
"2023-08-31","[40,60)","8469.8","37","18","35","1","6","4"
"2023-08-03","[60,80)","0","0","0","0","0","0","0"
"2023-08-04","[60,80)","19982.96","112","59","96","0","38","9"
"2023-08-05","[60,80)","151965.09","651","361","471","16","141","71"
"2023-08-06","[60,80)","259726.66","1222","719","880","46","266","117"
"2023-08-07","[60,80)","311079.73","1567","775","853","45","252","141"
"2023-08-08","[60,80)","369897.89","1889","925","1293","64","493","173"
"2023-08-09","[60,80)","307875.1","1677","834","908","50","318","161"
"2023-08-10","[60,80)","317855.04","1651","758","931","40","360","176"
"2023-08-11","[60,80)","326811.7","1556","750","819","58","321","154"
"2023-08-12","[60,80)","281070.27","1473","708","733","48","306","153"
"2023-08-13","[60,80)","342033.13","1780","835","1015","45","359","169"
"2023-08-14","[60,80)","309104.26","1544","769","814","41","340","157"
"2023-08-15","[60,80)","391478.61","1807","968","1255","55","397","170"
"2023-08-16","[60,80)","333218.8","1608","846","971","40","370","165"
"2023-08-17","[60,80)","280156.22","1432","679","781","46","312","139"
"2023-08-18","[60,80)","166719.2","816","386","443","18","186","83"
"2023-08-19","[60,80)","115924.2","560","259","241","16","81","69"
"2023-08-20","[60,80)","43237.08","248","125","85","10","41","39"
"2023-08-21","[60,80)","36845.72","219","85","120","6","35","29"
"2023-08-22","[60,80)","25703.04","168","62","49","4","15","19"
"2023-08-23","[60,80)","16688.92","89","39","29","3","12","15"
"2023-08-24","[60,80)","19241.7","106","45","46","5","5","11"
"2023-08-25","[60,80)","17526.93","79","18","18","1","7","12"
"2023-08-26","[60,80)","10415.82","55","15","17","0","9","13"
"2023-08-27","[60,80)","8943.23","28","13","24","2","4","6"
"2023-08-28","[60,80)","13061.22","44","29","51","2","14","9"
"2023-08-29","[60,80)","5916.96","43","15","10","4","0","7"
"2023-08-30","[60,80)","6443.02","46","10","7","1","3","8"
"2023-08-31","[60,80)","1833.66","24","4","0","0","0","3"
"2023-08-03","[300,350)","0","0","0","0","0","0","0"
"2023-08-04","[300,350)","0","0","0","0","0","0","0"
"2023-08-05","[300,350)","33949.78","154","24","306","0","24","10"
"2023-08-06","[300,350)","37142.96","273","50","486","2","59","18"
"2023-08-07","[300,350)","36554.28","156","26","163","0","37","18"
"2023-08-08","[300,350)","33210.94","178","43","187","0","39","17"
"2023-08-09","[300,350)","50214.78","265","62","319","0","65","24"
"2023-08-10","[300,350)","74323.45","320","122","529","3","130","25"
"2023-08-11","[300,350)","59275.8","281","82","384","2","91","22"
"2023-08-12","[300,350)","70918","330","114","485","4","112","24"
"2023-08-13","[300,350)","47503.62","191","49","285","4","51","25"
"2023-08-14","[300,350)","54307.44","203","66","290","4","72","21"
"2023-08-15","[300,350)","55663.74","211","54","271","0","67","19"
"2023-08-16","[300,350)","93118.39","347","112","510","6","103","31"
"2023-08-17","[300,350)","81448.25","309","104","417","2","80","25"
"2023-08-18","[300,350)","20099.37","78","26","101","0","22","13"
"2023-08-19","[300,350)","11114.78","61","17","38","0","14","6"
"2023-08-20","[300,350)","3961.06","32","0","1","0","1","2"
"2023-08-21","[300,350)","3846.02","27","0","0","0","1","1"
"2023-08-22","[300,350)","1602.22","15","1","7","0","1","2"
"2023-08-23","[300,350)","4895.34","30","2","14","0","1","2"
"2023-08-24","[300,350)","10888.46","57","14","49","0","3","2"
"2023-08-25","[300,350)","8947.72","48","15","51","1","4","2"
"2023-08-26","[300,350)","16842.08","78","13","107","0","13","2"
"2023-08-27","[300,350)","2711.99","13","5","22","0","0","1"
"2023-08-28","[300,350)","3870.72","19","8","28","0","4","3"
"2023-08-29","[300,350)","0","0","0","0","0","0","0"
"2023-08-30","[300,350)","0","0","0","0","0","0","0"
"2023-08-31","[300,350)","0","0","0","0","0","0","0"
"2023-08-03","[200,250)","0","0","0","0","0","0","0"
"2023-08-04","[200,250)","677.1","2","1","2","1","1","1"
"2023-08-05","[200,250)","36395.86","142","49","270","4","77","10"
"2023-08-06","[200,250)","72379.58","284","97","471","2","137","21"
"2023-08-07","[200,250)","93358.04","364","140","677","4","206","25"
"2023-08-08","[200,250)","101626.62","431","128","683","2","181","36"
"2023-08-09","[200,250)","114544.31","489","105","693","6","157","37"
"2023-08-10","[200,250)","158144.34","686","201","1021","8","252","39"
"2023-08-11","[200,250)","88653.04","442","102","580","7","102","38"
"2023-08-12","[200,250)","69417.92","380","101","397","2","43","39"
"2023-08-13","[200,250)","63386.69","333","65","379","7","87","32"
"2023-08-14","[200,250)","109934.26","511","132","748","7","191","39"
"2023-08-15","[200,250)","156907.07","717","189","1235","11","251","41"
"2023-08-16","[200,250)","149873.23","584","150","926","1","192","39"
"2023-08-17","[200,250)","137147.69","560","131","830","6","148","45"
"2023-08-18","[200,250)","68857.04","302","56","459","2","52","22"
"2023-08-19","[200,250)","43577.83","200","33","275","4","13","16"
"2023-08-20","[200,250)","41401.17","185","38","242","6","32","12"
"2023-08-21","[200,250)","23654.5","101","38","117","3","36","10"
"2023-08-22","[200,250)","7684.41","40","4","30","2","3","5"
"2023-08-23","[200,250)","5034.77","44","17","58","1","15","4"
"2023-08-24","[200,250)","1908.42","16","2","10","0","7","3"
"2023-08-25","[200,250)","0","0","0","0","0","0","0"
"2023-08-26","[200,250)","636.2","5","0","0","0","1","1"
"2023-08-27","[200,250)","3238.99","28","1","5","0","2","3"
"2023-08-28","[200,250)","8992.33","50","2","38","0","1","3"
"2023-08-29","[200,250)","9454.29","62","17","89","0","8","3"
"2023-08-30","[200,250)","6099.69","38","4","32","0","1","2"
"2023-08-31","[200,250)","5419.83","33","1","61","0","4","2"
