"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-07-31","[300,+∞)","23979.64","147","28","125","0","25","9"
"2023-08-01","[300,+∞)","13181.45","83","11","70","0","9","5"
"2023-08-02","[300,+∞)","16425.5","78","6","70","0","22","5"
"2023-08-03","[300,+∞)","5257.16","38","1","25","0","8","3"
"2023-08-04","[300,+∞)","10800.65","67","7","65","0","13","4"
"2023-08-05","[300,+∞)","13578.25","70","6","94","0","26","4"
"2023-08-06","[300,+∞)","12717.97","83","13","39","0","13","5"
"2023-08-07","[300,+∞)","21051.11","96","29","127","0","33","4"
"2023-08-08","[300,+∞)","17616.28","77","29","118","0","37","3"
"2023-08-09","[300,+∞)","13249.46","91","27","75","1","23","3"
"2023-08-10","[300,+∞)","13927.72","87","18","32","0","19","3"
"2023-08-11","[300,+∞)","6438.16","38","3","17","0","3","3"
"2023-08-12","[300,+∞)","981.91","3","2","3","0","1","1"
"2023-08-13","[300,+∞)","3922.48","30","0","0","0","1","1"
"2023-08-14","[300,+∞)","10364.55","45","23","15","1","4","3"
"2023-08-15","[300,+∞)","6946.88","27","6","32","0","2","2"
"2023-08-16","[300,+∞)","4325.87","22","1","0","0","1","1"
"2023-08-17","[300,+∞)","13352.02","50","17","33","0","16","2"
"2023-08-18","[300,+∞)","6170.25","33","4","0","0","2","1"
"2023-07-31","[0,20)","7215.04","164","148","12","1","4","247"
"2023-08-01","[0,20)","5596.02","70","64","17","3","7","206"
"2023-08-02","[0,20)","2572.65","40","32","0","3","3","182"
"2023-08-03","[0,20)","396.07","3","1","0","0","0","165"
"2023-08-04","[0,20)","1278.49","16","12","0","0","0","153"
"2023-08-05","[0,20)","2708.65","26","24","4","1","0","130"
"2023-08-06","[0,20)","1560.93","15","14","3","0","2","123"
"2023-08-07","[0,20)","425.5","1","0","0","0","0","119"
"2023-08-08","[0,20)","2067.68","31","28","5","4","2","91"
"2023-08-09","[0,20)","9.12","8","7","1","0","0","92"
"2023-08-10","[0,20)","288.61","3","2","0","0","0","91"
"2023-08-11","[0,20)","1523.54","27","15","0","6","12","82"
"2023-08-12","[0,20)","854.21","26","24","6","0","0","83"
"2023-08-13","[0,20)","583.78","11","8","2","3","1","68"
"2023-08-14","[0,20)","4214.24","39","36","3","1","8","77"
"2023-08-15","[0,20)","894.41","20","18","0","0","0","64"
"2023-08-16","[0,20)","988.04","15","12","0","0","1","62"
"2023-08-17","[0,20)","863.55","9","9","0","1","0","61"
"2023-08-18","[0,20)","289.81","1","1","0","1","0","55"
"2023-07-31","[100,150)","137333.9","687","275","392","32","119","66"
"2023-08-01","[100,150)","119257.73","665","251","408","8","112","56"
"2023-08-02","[100,150)","92564.57","485","164","245","15","64","57"
"2023-08-03","[100,150)","114373.96","612","175","318","10","98","57"
"2023-08-04","[100,150)","102099.96","528","215","230","12","80","44"
"2023-08-05","[100,150)","100076.29","507","165","289","11","97","38"
"2023-08-06","[100,150)","88731.57","471","185","269","18","66","41"
"2023-08-07","[100,150)","102724.85","471","156","347","8","132","43"
"2023-08-08","[100,150)","52663.66","289","90","114","5","33","29"
"2023-08-09","[100,150)","58688.09","320","95","162","3","40","32"
"2023-08-10","[100,150)","63456.17","294","96","195","5","27","35"
"2023-08-11","[100,150)","43852.73","216","63","201","2","17","19"
"2023-08-12","[100,150)","34825.68","180","63","88","4","26","26"
"2023-08-13","[100,150)","25650.67","125","43","67","2","23","19"
"2023-08-14","[100,150)","26850.34","144","45","85","3","24","18"
"2023-08-15","[100,150)","25521.43","125","35","77","0","11","13"
"2023-08-16","[100,150)","18325.64","103","28","31","1","9","12"
"2023-08-17","[100,150)","21550.07","121","39","48","2","19","15"
"2023-08-18","[100,150)","26987.75","166","39","62","1","26","19"
"2023-07-31","[20,40)","41843.86","281","193","34","23","37","37"
"2023-08-01","[20,40)","21370.27","153","107","19","11","22","32"
"2023-08-02","[20,40)","18174.61","138","87","36","15","10","28"
"2023-08-03","[20,40)","15219.33","134","76","20","2","7","22"
"2023-08-04","[20,40)","4517.46","33","12","6","3","9","12"
"2023-08-05","[20,40)","7277.63","54","36","6","1","5","20"
"2023-08-06","[20,40)","3576.64","19","11","1","0","6","9"
"2023-08-07","[20,40)","4910.3","41","23","6","5","5","6"
"2023-08-08","[20,40)","4601.31","20","8","8","0","1","9"
"2023-08-09","[20,40)","2229.52","10","3","3","2","2","7"
"2023-08-10","[20,40)","2420.95","13","8","0","0","0","6"
"2023-08-11","[20,40)","3312.92","19","11","0","4","2","7"
"2023-08-12","[20,40)","3929.21","34","21","6","2","2","8"
"2023-08-13","[20,40)","5470.56","45","38","17","2","9","7"
"2023-08-14","[20,40)","5732.55","43","31","9","3","11","10"
"2023-08-15","[20,40)","3150.88","43","30","6","0","0","7"
"2023-08-16","[20,40)","2704.83","19","12","1","0","1","6"
"2023-08-17","[20,40)","3244.29","36","27","2","3","2","9"
"2023-08-18","[20,40)","3405.38","25","8","4","0","3","5"
"2023-07-31","[150,200)","40770.39","194","60","103","3","22","20"
"2023-08-01","[150,200)","45885.37","253","93","207","1","39","17"
"2023-08-02","[150,200)","36978.31","230","78","125","3","23","19"
"2023-08-03","[150,200)","49078.22","318","92","176","6","48","17"
"2023-08-04","[150,200)","33626.88","273","96","107","2","15","18"
"2023-08-05","[150,200)","23584.38","193","57","75","3","8","15"
"2023-08-06","[150,200)","27914.71","201","66","30","1","13","16"
"2023-08-07","[150,200)","31187.58","213","73","44","1","21","19"
"2023-08-08","[150,200)","28099.87","183","70","67","1","30","15"
"2023-08-09","[150,200)","17650.46","126","31","35","2","11","14"
"2023-08-10","[150,200)","24498.1","181","57","51","3","15","15"
"2023-08-11","[150,200)","24771.34","138","29","53","1","9","15"
"2023-08-12","[150,200)","38407.9","192","70","146","0","15","14"
"2023-08-13","[150,200)","21390.09","134","41","77","0","13","13"
"2023-08-14","[150,200)","8439.36","74","10","15","0","4","10"
"2023-08-15","[150,200)","15393.68","113","45","38","0","7","9"
"2023-08-16","[150,200)","19235.03","129","39","52","0","16","11"
"2023-08-17","[150,200)","20008.24","114","41","87","0","23","8"
