"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-08-18","[150,200)","7102.47","65","20","22","0","8","6"
"2023-07-31","[200,250)","25021.09","158","51","55","2","7","14"
"2023-08-01","[200,250)","33152.3","196","98","114","2","26","15"
"2023-08-02","[200,250)","26297.63","139","58","104","1","12","12"
"2023-08-03","[200,250)","18989.52","138","43","44","4","11","12"
"2023-08-04","[200,250)","12302.49","74","18","36","1","2","8"
"2023-08-05","[200,250)","27034.02","123","41","112","0","3","6"
"2023-08-06","[200,250)","25571.66","124","50","119","1","10","7"
"2023-08-07","[200,250)","13606.71","92","16","53","1","2","7"
"2023-08-08","[200,250)","17909.33","107","17","57","0","9","6"
"2023-08-09","[200,250)","16310.94","116","32","69","1","4","9"
"2023-08-10","[200,250)","11290.24","90","21","44","0","6","8"
"2023-08-11","[200,250)","9954.73","67","26","42","0","5","8"
"2023-08-12","[200,250)","11220.63","77","21","29","0","6","5"
"2023-08-13","[200,250)","24314.03","107","49","72","2","1","5"
"2023-08-14","[200,250)","8384.49","48","15","30","0","1","5"
"2023-08-15","[200,250)","5187.26","34","7","5","1","5","2"
"2023-08-16","[200,250)","4565.3","23","13","4","0","1","4"
"2023-08-17","[200,250)","9254.25","62","14","7","2","3","4"
"2023-08-18","[200,250)","16850.75","115","44","49","2","10","5"
"2023-07-31","[60,80)","46771.24","241","84","97","3","39","31"
"2023-08-01","[60,80)","59841.52","306","127","111","9","39","33"
"2023-08-02","[60,80)","34271.89","220","112","44","7","48","29"
"2023-08-03","[60,80)","16875.26","103","30","22","6","13","19"
"2023-08-04","[60,80)","21406.55","144","33","33","1","20","23"
"2023-08-05","[60,80)","78187.06","147","41","31","1","10","16"
"2023-08-06","[60,80)","16531.16","119","25","37","2","20","15"
"2023-08-07","[60,80)","23361.43","125","46","74","0","16","15"
"2023-08-08","[60,80)","18821.96","99","21","40","1","5","9"
"2023-08-09","[60,80)","20315.69","122","30","32","3","11","14"
"2023-08-10","[60,80)","13041.56","98","22","6","3","4","12"
"2023-08-11","[60,80)","9463.31","59","11","25","2","7","11"
"2023-08-12","[60,80)","8636.88","72","13","12","0","3","9"
"2023-08-13","[60,80)","7001.74","67","6","25","1","4","6"
"2023-08-14","[60,80)","8967.47","84","34","24","3","5","8"
"2023-08-15","[60,80)","6862","29","4","0","0","0","3"
"2023-08-16","[60,80)","12690.14","67","23","12","0","17","9"
"2023-08-17","[60,80)","3244.84","18","4","3","0","3","5"
"2023-08-18","[60,80)","4606.03","39","3","4","2","0","5"
"2023-07-31","[40,60)","45350.21","290","151","38","18","46","41"
"2023-08-01","[40,60)","39916.37","301","163","54","14","30","31"
"2023-08-02","[40,60)","39722.73","218","114","47","10","26","23"
"2023-08-03","[40,60)","22079","118","61","13","9","12","24"
"2023-08-04","[40,60)","17877.09","112","45","30","3","11","19"
"2023-08-05","[40,60)","19217.92","127","68","45","10","14","14"
"2023-08-06","[40,60)","15885.82","102","29","15","3","20","13"
"2023-08-07","[40,60)","17964.39","114","37","43","3","20","15"
"2023-08-08","[40,60)","10611.65","71","32","21","1","9","11"
"2023-08-09","[40,60)","5351.58","47","22","4","4","2","6"
"2023-08-10","[40,60)","4454.49","23","11","2","3","0","8"
"2023-08-11","[40,60)","6054.64","41","17","6","4","4","8"
"2023-08-12","[40,60)","6068.53","45","14","7","1","2","8"
"2023-08-13","[40,60)","12282.66","78","37","8","4","13","9"
"2023-08-14","[40,60)","8925.09","49","29","6","0","1","7"
"2023-08-15","[40,60)","13159.7","72","46","35","10","16","11"
"2023-08-16","[40,60)","5046.85","44","20","13","0","3","7"
"2023-08-17","[40,60)","5866.31","43","25","1","2","1","6"
"2023-08-18","[40,60)","2217.19","18","3","4","1","1","6"
"2023-07-31","[250,300)","14683.32","64","31","56","0","7","4"
"2023-08-01","[250,300)","13592.78","52","24","27","8","1","4"
"2023-08-02","[250,300)","12767.3","68","22","11","6","3","4"
"2023-08-03","[250,300)","20773.89","100","25","75","1","27","5"
"2023-08-04","[250,300)","22139.47","104","25","99","0","29","5"
"2023-08-05","[250,300)","15102.65","80","35","74","0","29","4"
"2023-08-06","[250,300)","11253.61","33","5","46","0","9","3"
"2023-08-07","[250,300)","2429.52","24","12","16","0","6","2"
"2023-08-08","[250,300)","4804.37","29","5","3","0","1","2"
"2023-08-09","[250,300)","3536.14","21","0","0","0","0","1"
"2023-08-10","[250,300)","6339.26","38","2","0","0","2","2"
"2023-08-11","[250,300)","8099.81","49","12","23","0","1","5"
"2023-08-12","[250,300)","15568.99","82","26","66","0","7","5"
"2023-08-13","[250,300)","6968.54","59","14","19","1","4","3"
"2023-08-14","[250,300)","15651.62","94","20","78","0","8","6"
"2023-08-15","[250,300)","14323.6","78","30","57","2","4","5"
"2023-08-16","[250,300)","9880.57","55","12","44","0","4","3"
"2023-08-17","[250,300)","14173.99","72","15","70","0","3","5"
"2023-08-18","[250,300)","12723.27","71","9","60","0","3","5"
"2023-07-31","(null)","-","-","-","-","0","0","247"
"2023-08-01","(null)","-","-","-","-","0","0","206"
"2023-08-02","(null)","-","-","-","-","0","0","182"
"2023-08-03","(null)","-","-","-","-","0","0","165"
"2023-08-04","(null)","-","-","-","-","0","0","154"
"2023-08-05","(null)","-","-","-","-","0","0","130"
"2023-08-06","(null)","-","-","-","-","0","0","123"
"2023-08-07","(null)","-","-","-","-","0","0","119"
"2023-08-08","(null)","-","-","-","-","0","0","91"
"2023-08-09","(null)","-","-","-","-","0","0","92"
"2023-08-10","(null)","-","-","-","-","0","0","91"
"2023-08-11","(null)","-","-","-","-","0","0","82"
"2023-08-12","(null)","-","-","-","-","0","0","83"
"2023-08-13","(null)","-","-","-","-","0","0","68"
"2023-08-14","(null)","-","-","-","-","0","0","77"
"2023-08-15","(null)","-","-","-","-","0","0","64"
"2023-08-16","(null)","-","-","-","-","0","0","62"
"2023-08-17","(null)","-","-","-","-","0","0","61"
"2023-08-18","(null)","-","-","-","-","0","0","55"
"2023-07-31","[80,100)","62998.58","424","144","204","5","52","41"
"2023-08-01","[80,100)","59350","350","137","157","6","57","38"
"2023-08-02","[80,100)","59843.93","360","147","198","9","47","31"
"2023-08-03","[80,100)","21406.11","157","47","65","5","19","22"
"2023-08-04","[80,100)","34677.11","250","61","95","3","17","22"
"2023-08-05","[80,100)","19948.05","143","40","35","0","17","16"
"2023-08-06","[80,100)","23180.44","140","33","82","3","37","17"
"2023-08-07","[80,100)","20381.26","134","19","68","1","16","15"
"2023-08-08","[80,100)","18085.89","136","25","60","1","8","13"
"2023-08-09","[80,100)","22700.39","155","55","85","1","27","15"
"2023-08-10","[80,100)","10477.21","68","22","35","1","9","11"
"2023-08-11","[80,100)","10494.12","60","12","33","0","9","9"
"2023-08-12","[80,100)","11613.36","81","15","23","1","8","11"
"2023-08-13","[80,100)","12937.65","104","24","45","2","11","10"
"2023-08-14","[80,100)","17851.78","101","27","40","0","27","14"
"2023-08-15","[80,100)","12560.61","82","17","32","0","7","11"
"2023-08-16","[80,100)","11343.56","95","30","21","0","3","11"
"2023-08-17","[80,100)","6612.15","64","15","17","0","6","11"
"2023-08-18","[80,100)","6336.52","44","12","19","0","9","7"
